Day,Archibald the Wise,Archiwise the Bald,Averill,Azeru,Boltholopew,Burova,Cayn,Danny Nova,Dankon Ground,Gnarck,Gouberi,Lomerius Xardus,Moon Finder,Nettie Silver,Penta Vasi,Ricewined,Tehami Darke,Yungreen,Zancro,Zeledin Zura
1403,N/A,N/A,N/A,8,6,4,N/A,N/A,N/A,N/A,N/A,5,2,12,N/A,N/A,6,N/A,2,4
1404,N/A,5,N/A,N/A,N/A,4,9,N/A,N/A,N/A,N/A,5,6,8,N/A,6,6,N/A,N/A,4
1405,N/A,7,N/A,N/A,N/A,12,10,N/A,N/A,N/A,N/A,5,4,10,N/A,10,6,N/A,N/A,4
1406,N/A,5,N/A,11,N/A,4,N/A,N/A,N/A,N/A,N/A,6,7,12,N/A,6,6,N/A,N/A,4
1407,N/A,5,N/A,N/A,N/A,12,12,6,N/A,N/A,N/A,5,11,10,N/A,6,10,N/A,N/A,4
1408,N/A,5,N/A,1,N/A,12,N/A,4,N/A,N/A,N/A,4,11,12,N/A,N/A,6,N/A,11,4
1409,N/A,7,11,N/A,10,12,2,N/A,N/A,N/A,N/A,6,N/A,11,N/A,N/A,6,N/A,N/A,4
1410,N/A,N/A,N/A,N/A,11,4,3,7,7,N/A,N/A,6,6,4,N/A,N/A,6,N/A,N/A,4
1411,N/A,N/A,N/A,4,9,12,N/A,N/A,N/A,N/A,N/A,6,6,9,N/A,N/A,6,N/A,8,4
1412,N/A,7,N/A,5,N/A,4,N/A,7,N/A,N/A,N/A,7,11,10,N/A,N/A,8,N/A,N/A,4
1413,N/A,7,N/A,N/A,N/A,4,6,7,N/A,N/A,N/A,7,4,12,N/A,N/A,6,N/A,4,4
1414,N/A,7,N/A,N/A,N/A,4,7,N/A,N/A,N/A,N/A,5,3,9,N/A,N/A,6,N/A,N/A,4
1415,N/A,7,11,8,N/A,4,N/A,6,N/A,N/A,N/A,5,10,10,N/A,N/A,6,N/A,N/A,4
1416,N/A,5,N/A,9,N/A,12,N/A,2,5,N/A,N/A,5,N/A,5,N/A,N/A,8,N/A,5,4
1417,N/A,5,N/A,10,11,4,N/A,N/A,N/A,N/A,N/A,6,N/A,7,N/A,N/A,6,N/A,N/A,4
1418,N/A,N/A,N/A,11,7,12,N/A,N/A,N/A,N/A,N/A,8,4,10,N/A,6,6,N/A,N/A,4
1419,N/A,N/A,N/A,12,10,12,N/A,N/A,N/A,N/A,N/A,5,11,12,N/A,N/A,6,N/A,N/A,4
1420,N/A,5,N/A,1,N/A,12,N/A,N/A,N/A,N/A,N/A,6,3,12,N/A,N/A,6,N/A,N/A,4
1421,N/A,7,N/A,2,N/A,4,N/A,N/A,N/A,N/A,N/A,5,N/A,8,N/A,N/A,6,N/A,N/A,4
1422,N/A,5,N/A,N/A,N/A,12,3,5,N/A,N/A,N/A,5,10,9,N/A,6,6,N/A,N/A,4
1423,N/A,7,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,6,4,11,10,N/A,6,6,N/A,N/A,4
1424,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,6,6,11,12,N/A,11,6,N/A,N/A,4
1425,N/A,5,N/A,N/A,7,N/A,6,4,N/A,N/A,6,5,6,5,N/A,6,6,N/A,N/A,4
1426,N/A,N/A,N/A,7,10,N/A,N/A,3,N/A,N/A,6,6,2,8,N/A,6,6,N/A,N/A,4
1427,N/A,N/A,N/A,8,7,N/A,N/A,8,N/A,N/A,6,5,7,8,N/A,6,6,N/A,N/A,4
1428,N/A,7,N/A,9,N/A,N/A,N/A,N/A,5,N/A,6,6,N/A,2,N/A,6,6,N/A,8,4
1429,N/A,7,12,10,N/A,N/A,N/A,N/A,N/A,N/A,6,7,11,3,N/A,N/A,6,N/A,N/A,4
1430,N/A,7,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,6,6,10,12,N/A,N/A,6,N/A,N/A,4
1431,N/A,7,N/A,12,N/A,N/A,N/A,N/A,5,N/A,6,6,N/A,8,N/A,N/A,6,N/A,N/A,4
1432,N/A,7,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,6,5,10,8,N/A,N/A,6,N/A,N/A,4
1433,N/A,7,N/A,N/A,7,N/A,2,N/A,N/A,N/A,6,5,3,11,N/A,N/A,6,N/A,N/A,4
1434,N/A,N/A,N/A,N/A,10,N/A,3,9,N/A,N/A,6,6,N/A,7,N/A,N/A,9,N/A,N/A,4
1435,N/A,N/A,4,N/A,11,N/A,4,N/A,N/A,N/A,6,5,N/A,10,N/A,N/A,11,N/A,N/A,4
1436,N/A,5,N/A,N/A,N/A,N/A,5,8,N/A,N/A,6,5,11,7,N/A,N/A,6,N/A,N/A,4
1437,N/A,5,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,6,6,4,5,N/A,N/A,6,N/A,N/A,4
1438,N/A,7,N/A,7,N/A,N/A,N/A,N/A,8,N/A,6,6,11,9,N/A,N/A,8,N/A,N/A,4
1439,N/A,7,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,6,6,11,11,N/A,N/A,6,N/A,N/A,4
1440,N/A,5,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,6,6,8,9,N/A,N/A,8,N/A,N/A,4
1441,N/A,7,N/A,10,7,N/A,N/A,N/A,6,N/A,6,5,10,12,N/A,N/A,6,N/A,N/A,4
1442,N/A,N/A,N/A,N/A,8,N/A,11,N/A,N/A,N/A,6,7,8,12,N/A,N/A,6,N/A,10,4
1443,N/A,N/A,N/A,12,5,N/A,N/A,N/A,N/A,N/A,6,5,N/A,11,N/A,N/A,9,N/A,4,4
1444,N/A,5,N/A,1,N/A,N/A,N/A,1,N/A,N/A,6,6,6,3,N/A,N/A,6,N/A,N/A,4
1445,N/A,5,N/A,2,N/A,N/A,N/A,4,N/A,N/A,6,5,11,10,N/A,6,8,N/A,N/A,4
1446,N/A,5,4,3,N/A,N/A,N/A,9,N/A,N/A,6,5,10,10,N/A,6,6,N/A,N/A,4
1447,N/A,5,N/A,N/A,N/A,N/A,4,8,N/A,N/A,6,6,1,6,N/A,7,6,N/A,N/A,4
1448,N/A,7,N/A,5,N/A,N/A,N/A,4,N/A,N/A,6,6,N/A,7,N/A,8,6,N/A,N/A,4
1449,N/A,5,N/A,N/A,10,N/A,6,N/A,N/A,N/A,6,6,4,9,N/A,9,8,N/A,N/A,4
1450,N/A,N/A,N/A,N/A,9,N/A,7,8,N/A,N/A,6,5,10,11,N/A,6,6,N/A,7,4
1451,N/A,N/A,N/A,N/A,8,N/A,8,3,N/A,N/A,6,5,1,6,N/A,5,6,N/A,12,4
1452,N/A,5,5,N/A,N/A,N/A,9,N/A,N/A,N/A,6,6,N/A,9,N/A,N/A,6,N/A,N/A,4
1453,N/A,5,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,6,5,8,8,N/A,N/A,6,N/A,N/A,4
1454,N/A,5,N/A,11,N/A,N/A,N/A,6,5,N/A,6,6,1,10,N/A,6,11,N/A,N/A,4
1455,N/A,5,N/A,12,N/A,N/A,N/A,2,N/A,N/A,6,6,N/A,9,N/A,3,9,N/A,N/A,4
1456,N/A,7,N/A,1,N/A,N/A,N/A,N/A,2,N/A,6,6,7,7,N/A,N/A,6,N/A,N/A,4
1457,N/A,5,N/A,2,10,N/A,N/A,N/A,N/A,N/A,6,6,1,12,N/A,N/A,6,N/A,N/A,4
1458,N/A,N/A,N/A,N/A,11,N/A,3,N/A,N/A,N/A,6,N/A,4,9,N/A,N/A,9,N/A,N/A,4
1459,N/A,N/A,N/A,4,8,N/A,N/A,N/A,N/A,N/A,6,5,4,9,N/A,N/A,6,N/A,4,4
1460,N/A,5,N/A,N/A,N/A,N/A,5,5,N/A,N/A,6,6,2,6,N/A,N/A,8,N/A,N/A,4
1461,N/A,7,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,6,6,10,2,6,6,10,N/A,1,4
1462,N/A,5,N/A,7,N/A,N/A,N/A,7,N/A,N/A,6,4,7,9,N/A,3,9,N/A,N/A,4
1463,N/A,5,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,6,6,4,3,N/A,8,6,N/A,N/A,4
1464,N/A,7,6,9,N/A,N/A,N/A,N/A,N/A,N/A,6,7,3,9,N/A,7,6,N/A,N/A,4
1465,N/A,7,N/A,10,9,N/A,N/A,7,N/A,N/A,6,6,11,8,N/A,N/A,9,N/A,N/A,4
1466,N/A,N/A,N/A,11,11,N/A,N/A,N/A,N/A,N/A,6,6,10,7,N/A,6,6,N/A,N/A,4
1467,N/A,N/A,N/A,N/A,10,N/A,12,7,5,N/A,6,5,10,9,N/A,8,9,N/A,N/A,4
1468,N/A,5,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,6,5,9,5,N/A,N/A,6,N/A,N/A,4
1469,N/A,5,N/A,N/A,N/A,N/A,2,1,N/A,N/A,6,6,N/A,11,N/A,6,6,N/A,N/A,4
1470,N/A,7,6,3,N/A,N/A,N/A,10,N/A,N/A,6,6,9,8,N/A,N/A,6,N/A,N/A,4
1471,N/A,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,6,6,8,8,N/A,N/A,11,N/A,N/A,4
1472,N/A,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,6,6,8,12,N/A,N/A,6,N/A,N/A,4
1473,N/A,7,N/A,N/A,8,N/A,6,1,N/A,N/A,6,6,11,9,N/A,N/A,6,N/A,N/A,4
1474,N/A,N/A,N/A,7,7,N/A,N/A,N/A,N/A,N/A,6,5,N/A,11,N/A,N/A,6,N/A,8,4
1475,N/A,N/A,N/A,N/A,11,N/A,8,1,N/A,N/A,6,6,11,7,N/A,N/A,6,N/A,7,4
1476,N/A,5,N/A,9,N/A,N/A,N/A,4,N/A,N/A,6,5,11,8,N/A,N/A,6,N/A,N/A,4
1477,N/A,5,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,6,6,1,12,N/A,6,6,N/A,6,4
1478,N/A,5,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,6,5,N/A,9,N/A,10,6,N/A,7,4
1479,N/A,5,N/A,12,N/A,N/A,N/A,6,N/A,N/A,6,7,N/A,7,N/A,6,6,N/A,N/A,4
1480,N/A,5,N/A,1,N/A,N/A,N/A,3,N/A,N/A,6,6,11,6,N/A,6,6,N/A,N/A,4
1481,N/A,5,N/A,N/A,11,N/A,2,N/A,N/A,N/A,6,5,11,9,N/A,8,8,N/A,N/A,4
1482,N/A,N/A,N/A,N/A,10,N/A,3,N/A,N/A,N/A,6,5,N/A,8,N/A,N/A,6,N/A,6,4
1483,N/A,N/A,N/A,N/A,9,N/A,4,N/A,N/A,N/A,6,6,N/A,7,N/A,N/A,6,N/A,N/A,4
1484,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,6,8,8,7,N/A,N/A,6,N/A,10,4
1485,N/A,5,N/A,6,N/A,N/A,N/A,2,N/A,N/A,6,7,3,10,N/A,N/A,8,N/A,N/A,4
1486,N/A,5,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,6,6,N/A,10,N/A,N/A,6,N/A,N/A,4
1487,N/A,5,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,6,6,11,6,N/A,N/A,6,N/A,N/A,4
1488,N/A,7,N/A,9,N/A,N/A,N/A,2,N/A,N/A,6,5,N/A,8,N/A,N/A,6,N/A,N/A,4
1489,N/A,7,N/A,10,11,N/A,N/A,N/A,N/A,N/A,6,6,9,8,N/A,6,6,N/A,N/A,4
1490,N/A,N/A,N/A,11,11,N/A,N/A,N/A,N/A,N/A,6,6,11,10,N/A,6,6,N/A,N/A,4
1491,N/A,N/A,6,N/A,9,N/A,12,N/A,N/A,N/A,6,6,4,8,N/A,3,6,N/A,N/A,4
1492,N/A,5,N/A,1,N/A,N/A,N/A,N/A,5,N/A,6,6,6,8,N/A,6,4,N/A,6,4
1493,N/A,5,N/A,2,N/A,N/A,N/A,3,N/A,N/A,6,5,11,6,N/A,N/A,6,N/A,N/A,4
1494,N/A,7,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,6,6,4,10,N/A,N/A,6,N/A,N/A,4
1495,N/A,7,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,6,5,5,3,N/A,N/A,6,N/A,11,4
1496,N/A,5,N/A,5,N/A,N/A,N/A,5,N/A,N/A,6,5,N/A,11,N/A,N/A,6,N/A,N/A,4
1497,N/A,7,7,6,8,N/A,N/A,5,5,N/A,6,6,9,10,N/A,N/A,6,N/A,7,4
1498,N/A,N/A,N/A,N/A,8,N/A,7,6,10,N/A,6,6,9,9,N/A,N/A,6,N/A,N/A,4
1499,N/A,N/A,N/A,N/A,5,N/A,8,N/A,N/A,N/A,6,N/A,N/A,10,N/A,N/A,6,N/A,N/A,4
1500,N/A,7,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,6,8,10,6,N/A,N/A,6,N/A,N/A,4
1501,N/A,5,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,6,4,11,7,N/A,N/A,6,N/A,N/A,4
1502,N/A,5,N/A,11,N/A,N/A,N/A,4,5,N/A,6,5,10,10,N/A,N/A,6,N/A,N/A,4
1503,N/A,7,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,6,6,N/A,7,N/A,N/A,6,N/A,N/A,4
1504,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,6,6,N/A,12,N/A,N/A,10,N/A,N/A,4
1505,N/A,7,N/A,N/A,7,N/A,2,N/A,N/A,N/A,6,5,9,8,N/A,N/A,8,N/A,N/A,4
1506,N/A,N/A,N/A,N/A,10,N/A,3,N/A,N/A,N/A,6,6,10,12,N/A,N/A,6,N/A,N/A,4
1507,N/A,N/A,N/A,4,10,N/A,N/A,N/A,N/A,N/A,6,N/A,3,11,N/A,N/A,6,N/A,N/A,4
1508,N/A,7,N/A,N/A,N/A,N/A,5,7,N/A,N/A,6,5,N/A,12,N/A,6,8,N/A,N/A,4
1509,N/A,7,N/A,6,N/A,N/A,N/A,5,N/A,N/A,6,6,4,7,N/A,8,6,N/A,N/A,4
1510,N/A,5,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,6,7,10,10,N/A,9,6,N/A,N/A,4
1511,N/A,5,N/A,N/A,N/A,N/A,8,6,N/A,N/A,6,5,N/A,12,N/A,7,6,N/A,N/A,4
1512,N/A,7,6,9,N/A,N/A,N/A,3,N/A,N/A,6,6,1,3,N/A,3,6,N/A,N/A,4
1513,N/A,7,N/A,N/A,5,N/A,10,5,N/A,N/A,6,6,N/A,12,N/A,9,6,N/A,3,4
1514,N/A,N/A,N/A,N/A,9,N/A,11,4,N/A,N/A,6,5,N/A,7,N/A,8,10,N/A,N/A,4
1515,N/A,N/A,N/A,12,9,N/A,N/A,N/A,N/A,N/A,6,5,5,6,N/A,N/A,6,N/A,N/A,4
1516,N/A,7,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,6,6,9,8,N/A,6,11,N/A,N/A,4
1517,N/A,5,N/A,2,N/A,N/A,N/A,2,N/A,N/A,6,5,2,7,N/A,6,6,N/A,N/A,4
1518,N/A,5,6,3,N/A,N/A,N/A,3,N/A,N/A,6,6,7,11,N/A,N/A,8,N/A,N/A,4
1519,N/A,7,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,6,6,10,2,N/A,6,6,N/A,5,4
1520,N/A,7,N/A,N/A,N/A,N/A,5,N/A,3,N/A,6,5,9,3,N/A,6,6,N/A,N/A,4
1521,N/A,5,N/A,N/A,10,N/A,6,N/A,N/A,N/A,6,5,8,10,N/A,3,6,N/A,N/A,4
1522,N/A,N/A,N/A,N/A,11,N/A,7,N/A,N/A,N/A,6,6,11,12,N/A,N/A,6,N/A,N/A,4
1523,N/A,N/A,N/A,N/A,8,N/A,8,2,N/A,N/A,6,6,2,4,N/A,N/A,6,N/A,4,4
1524,N/A,7,N/A,9,N/A,N/A,N/A,1,N/A,N/A,6,6,4,11,N/A,N/A,6,N/A,N/A,4
1525,N/A,5,N/A,10,N/A,N/A,N/A,2,N/A,N/A,6,6,11,8,N/A,N/A,10,N/A,12,4
1526,N/A,5,N/A,11,N/A,N/A,N/A,6,N/A,N/A,6,6,11,9,N/A,6,9,N/A,10,4
1527,N/A,7,N/A,N/A,N/A,N/A,12,6,9,N/A,6,6,N/A,11,N/A,N/A,6,N/A,6,4
1528,N/A,7,N/A,N/A,N/A,N/A,1,8,N/A,N/A,6,5,7,9,N/A,N/A,6,N/A,4,4
1529,N/A,5,N/A,N/A,10,N/A,2,3,N/A,N/A,6,5,7,8,N/A,N/A,6,N/A,7,4
1530,N/A,N/A,N/A,N/A,9,N/A,3,4,N/A,N/A,N/A,6,11,5,N/A,N/A,6,N/A,N/A,4
1531,N/A,N/A,N/A,N/A,7,N/A,4,N/A,N/A,N/A,N/A,7,8,12,N/A,N/A,6,N/A,N/A,4
1532,N/A,7,6,N/A,N/A,N/A,5,3,N/A,N/A,N/A,6,11,10,N/A,N/A,6,N/A,N/A,4
1533,N/A,7,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,11,N/A,N/A,6,N/A,N/A,4
1534,N/A,5,N/A,7,N/A,N/A,N/A,6,N/A,N/A,N/A,5,10,12,N/A,N/A,6,N/A,8,4
1535,N/A,5,N/A,N/A,N/A,N/A,8,10,N/A,N/A,N/A,5,8,12,N/A,N/A,8,N/A,N/A,4
1536,N/A,5,N/A,9,N/A,N/A,N/A,3,N/A,N/A,N/A,6,10,9,N/A,N/A,6,N/A,N/A,4
1537,N/A,7,N/A,10,11,N/A,N/A,N/A,N/A,N/A,N/A,6,9,5,N/A,N/A,6,N/A,12,4
1538,N/A,N/A,N/A,11,7,N/A,N/A,N/A,N/A,N/A,N/A,6,4,11,N/A,N/A,11,N/A,N/A,4
1539,N/A,N/A,N/A,12,11,N/A,N/A,N/A,N/A,N/A,N/A,5,11,8,N/A,N/A,6,N/A,N/A,4
1540,N/A,5,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,6,6,10,N/A,N/A,6,N/A,N/A,4
1541,N/A,5,N/A,N/A,N/A,N/A,2,9,5,N/A,N/A,6,10,6,N/A,N/A,6,N/A,N/A,4
1542,N/A,7,N/A,3,N/A,N/A,N/A,5,N/A,N/A,N/A,8,11,9,N/A,6,6,N/A,N/A,4
1543,N/A,5,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,6,N/A,12,N/A,N/A,6,N/A,N/A,4
1544,N/A,7,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,7,N/A,5,N/A,N/A,6,N/A,N/A,4
1545,N/A,5,N/A,6,9,N/A,N/A,3,N/A,N/A,N/A,6,N/A,9,N/A,N/A,6,N/A,N/A,4
1546,N/A,N/A,N/A,7,9,N/A,N/A,5,N/A,N/A,N/A,7,9,8,N/A,N/A,9,N/A,4,4
1547,N/A,N/A,9,N/A,10,N/A,8,11,N/A,N/A,N/A,N/A,6,10,N/A,N/A,6,N/A,N/A,4
1548,N/A,5,N/A,N/A,N/A,N/A,9,7,N/A,N/A,N/A,6,11,11,N/A,N/A,6,N/A,N/A,4
1549,N/A,7,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,5,5,3,N/A,6,6,N/A,N/A,4
1550,N/A,7,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,5,10,11,N/A,8,6,N/A,N/A,4
1551,N/A,7,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,1,10,N/A,6,6,N/A,N/A,4
1552,N/A,7,N/A,1,N/A,N/A,N/A,4,N/A,N/A,N/A,5,6,11,N/A,9,6,N/A,12,4
1553,N/A,5,4,2,11,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,2,N/A,4,6,N/A,N/A,4
1554,N/A,N/A,N/A,3,8,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,9,N/A,6,6,N/A,8,4
1555,N/A,N/A,N/A,4,10,N/A,N/A,N/A,N/A,N/A,N/A,5,8,12,N/A,9,6,N/A,N/A,4
1556,N/A,7,N/A,N/A,N/A,N/A,5,4,9,N/A,N/A,6,N/A,10,N/A,9,8,N/A,4,4
1557,N/A,5,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,10,10,N/A,6,6,N/A,N/A,4
1558,N/A,5,N/A,N/A,N/A,N/A,7,6,3,N/A,N/A,6,4,8,N/A,9,6,N/A,N/A,4
1559,N/A,7,N/A,8,N/A,N/A,N/A,4,N/A,N/A,N/A,6,11,10,N/A,10,6,N/A,N/A,4
1560,N/A,5,6,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,9,8,N/A,6,6,N/A,N/A,4
1561,N/A,7,N/A,10,7,N/A,N/A,3,N/A,N/A,N/A,6,10,11,N/A,6,6,N/A,N/A,4
1562,N/A,N/A,N/A,11,5,N/A,N/A,N/A,N/A,N/A,N/A,7,11,9,N/A,9,6,N/A,N/A,4
1563,N/A,N/A,N/A,N/A,8,N/A,12,N/A,N/A,N/A,N/A,7,9,12,N/A,8,8,N/A,9,4
1564,N/A,5,N/A,1,N/A,N/A,N/A,2,N/A,N/A,N/A,6,11,9,N/A,6,11,N/A,N/A,4
1565,N/A,7,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,9,12,N/A,6,7,N/A,4,4
1566,N/A,5,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,10,10,N/A,8,6,N/A,N/A,4
1567,N/A,5,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,5,10,8,N/A,N/A,6,N/A,N/A,4
1568,N/A,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,9,9,N/A,N/A,6,N/A,7,4
1569,N/A,7,6,N/A,11,N/A,6,N/A,N/A,N/A,N/A,6,10,2,N/A,N/A,6,N/A,N/A,4
1570,N/A,N/A,N/A,N/A,10,N/A,7,6,7,N/A,N/A,7,9,12,N/A,N/A,6,N/A,N/A,4
1571,N/A,N/A,N/A,8,9,N/A,N/A,7,N/A,N/A,N/A,5,3,8,N/A,N/A,5,N/A,8,4
1572,N/A,5,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,8,N/A,N/A,6,N/A,N/A,4
1573,N/A,7,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,9,11,N/A,N/A,6,N/A,N/A,4
1574,N/A,5,N/A,11,N/A,N/A,N/A,1,N/A,N/A,N/A,5,N/A,10,N/A,N/A,6,N/A,N/A,4
1575,N/A,5,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,6,9,11,N/A,6,3,N/A,N/A,4
1576,N/A,5,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,6,7,3,N/A,6,6,N/A,N/A,4
1577,N/A,5,N/A,N/A,11,N/A,2,N/A,N/A,N/A,N/A,5,N/A,4,N/A,3,6,N/A,N/A,4
1578,N/A,N/A,N/A,3,7,N/A,N/A,N/A,N/A,N/A,N/A,6,10,8,N/A,N/A,6,N/A,4,4
1579,N/A,N/A,N/A,N/A,11,N/A,4,7,N/A,N/A,N/A,6,8,9,N/A,N/A,6,N/A,N/A,4
1580,N/A,5,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,5,5,12,N/A,6,11,N/A,N/A,4
1581,N/A,7,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,10,12,N/A,N/A,6,N/A,4,4
1582,N/A,7,6,7,N/A,N/A,N/A,8,N/A,N/A,N/A,6,9,4,N/A,N/A,6,N/A,N/A,4
1583,N/A,5,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,6,9,12,N/A,N/A,7,N/A,N/A,4
1584,N/A,5,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,6,11,N/A,N/A,8,N/A,N/A,4
1585,N/A,5,N/A,N/A,5,N/A,10,N/A,N/A,N/A,N/A,5,4,12,N/A,N/A,6,N/A,6,4
1586,N/A,N/A,N/A,N/A,7,N/A,11,N/A,N/A,N/A,N/A,7,10,12,N/A,N/A,6,N/A,N/A,4
1587,N/A,N/A,N/A,12,8,N/A,N/A,N/A,N/A,N/A,N/A,5,10,8,N/A,N/A,6,N/A,N/A,4
1588,N/A,5,N/A,N/A,N/A,N/A,1,5,N/A,N/A,N/A,4,9,12,N/A,6,6,N/A,11,4
1589,N/A,5,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,6,11,12,N/A,9,6,N/A,N/A,4
1590,N/A,7,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,5,2,9,N/A,3,6,N/A,N/A,4
1591,N/A,7,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,5,N/A,6,N/A,6,11,N/A,N/A,4
1592,N/A,5,N/A,5,N/A,N/A,N/A,2,N/A,N/A,N/A,6,4,12,N/A,6,11,N/A,N/A,4
1593,N/A,5,N/A,6,7,N/A,N/A,2,3,N/A,N/A,4,11,9,N/A,7,6,N/A,N/A,4
1594,N/A,N/A,5,7,10,N/A,N/A,N/A,N/A,N/A,N/A,6,4,5,N/A,3,6,N/A,N/A,4
1595,N/A,N/A,N/A,N/A,7,N/A,8,N/A,N/A,N/A,N/A,8,5,9,N/A,6,6,N/A,N/A,4
1596,N/A,5,N/A,9,N/A,N/A,N/A,N/A,12,N/A,N/A,6,N/A,12,N/A,10,6,N/A,N/A,4
1597,N/A,5,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,10,N/A,N/A,9,N/A,5,4
1598,N/A,7,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,7,12,N/A,N/A,6,N/A,N/A,4
1599,N/A,7,N/A,12,N/A,N/A,N/A,N/A,8,N/A,N/A,5,6,12,N/A,N/A,10,N/A,N/A,4
1600,N/A,5,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,5,1,12,N/A,N/A,6,N/A,4,4
1601,N/A,5,6,2,7,N/A,N/A,N/A,N/A,N/A,N/A,5,10,10,N/A,N/A,6,N/A,N/A,4
1602,N/A,N/A,N/A,3,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,10,N/A,N/A,10,N/A,N/A,4
1603,N/A,N/A,N/A,4,9,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,N/A,6,N/A,N/A,4
1604,N/A,7,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,5,8,10,N/A,N/A,6,N/A,N/A,4
1605,N/A,5,N/A,6,N/A,N/A,N/A,5,N/A,N/A,N/A,7,11,12,N/A,6,6,N/A,N/A,4
1606,N/A,5,N/A,7,N/A,N/A,N/A,N/A,1,N/A,N/A,6,11,10,N/A,6,10,N/A,N/A,4
1607,N/A,5,12,8,N/A,N/A,N/A,3,N/A,N/A,N/A,6,6,10,N/A,10,11,N/A,3,4
1608,N/A,7,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,11,9,N/A,6,6,N/A,N/A,4
1609,N/A,7,N/A,10,11,N/A,N/A,9,N/A,N/A,N/A,6,11,12,N/A,6,6,N/A,N/A,4
1610,N/A,N/A,N/A,N/A,8,N/A,11,N/A,N/A,N/A,N/A,6,9,7,N/A,10,6,N/A,N/A,4
1611,N/A,N/A,N/A,12,11,N/A,N/A,2,9,N/A,N/A,5,7,12,N/A,7,6,N/A,N/A,4
1612,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,4,10,N/A,7,6,N/A,N/A,4
1613,N/A,5,6,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,10,N/A,N/A,6,N/A,1,4
